laporan,label
"Angin puting beliung melanda wilayah Palu tepatnya di Kecamatan Kalianda, Desa Cikahuripan dua hari yang lalu. Sebanyak 5 ternak dilaporkan mati akibat bencana. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
"Angin puting beliung melanda wilayah Bengkulu tepatnya di Kecamatan Pamekasan, Desa Gunungkidul tiga hari yang lalu. Pasokan air bersih terganggu di beberapa wilayah. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
"Kebakaran hutan akibat napas naga terjadi di kota Bikini Bottom seminggu yang lalu. mengakibatkan semua orang di wilayah itu bisa terbang. Menurut warga, ini adalah ulah alien yang ingin menguasai bumi.",Invalid
Lava meletus dari gunung es di tengah kota terjadi di permukaan Planet Mars pada pukul 09.53 WIB. mengakibatkan semua warga menjadi takut dan bersembunyi. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
"Angin topan membawa naga raksasa terjadi di kota Bikini Bottom pada pagi hari ini. menyebabkan langit berubah warna menjadi ungu. Berita ini menjadi viral di media sosial, namun tidak ada konfirmasi resmi.",Invalid
Hujan emas yang membuat warga kaya mendadak terjadi di Kota Gaib Saranjana pada malam hari kemarin. menyebabkan warga panik dan ketakutan. Berita ini ternyata hanya hoax yang menyebar di media sosial.,Invalid
Gempa bumi raksasa akibat ulah alien terjadi di kota Bikini Bottom saat subuh tadi. menyebabkan warga panik dan ketakutan. Tidak ada bukti yang jelas mengenai kejadian ini hingga saat ini.,Invalid
"Longsor lahar dingin melanda wilayah Bengkulu tepatnya di Kecamatan Pesawaran, Desa Gunungkidul pada malam hari tadi. Pasokan listrik terhenti selama beberapa jam di wilayah terdampak. Proses evakuasi warga yang terdampak masih berlangsung hingga malam ini.",Valid
"Tsunami melanda wilayah Bali tepatnya di Kecamatan Soreang, Desa Margodadi pada sore hari kemarin. Kerugian material diperkirakan mencapai Rp 64 miliar. Warga diminta tetap waspada terhadap potensi bencana susulan di wilayah tersebut.",Valid
"Gempa bumi raksasa akibat ulah alien terjadi di Dimensi Kelima pada malam hari kemarin. mengakibatkan gunung berubah menjadi cokelat leleh. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
"Letusan gunung berapi melanda wilayah Bengkulu tepatnya di Kecamatan Pesawaran, Desa Tegalrejo pada pukul 08.33 WIB. Pasokan air bersih terganggu di beberapa wilayah. Petugas masih melakukan pendataan kerugian dan korban di lokasi kejadian.",Valid
"Gempa bumi dengan kekuatan 3.8 SR melanda wilayah Lombok tepatnya di Kecamatan Kalianda, Desa Jaya Baru pada siang hari tadi. Pasokan listrik terhenti selama beberapa jam di wilayah terdampak. Pihak BPBD setempat langsung menangani kejadian ini dengan mendirikan posko darurat.",Valid
"Letusan gunung berapi melanda wilayah Lombok tepatnya di Kecamatan Ubud, Desa Pasirjaya pada pukul 08.33 WIB. Pasokan air bersih terganggu di beberapa wilayah. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
"Lava meletus dari gunung es di tengah kota terjadi di permukaan Planet Mars pada pagi hari ini. menyebabkan hewan-hewan mulai menari di jalan. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
Banjir darah dari langit terjadi di Kerajaan Atlantis yang tenggelam pada pukul 09.53 WIB. mengakibatkan pohon-pohon berubah menjadi emas. Warga setempat mengaku hanya mendengar cerita ini dari grup WhatsApp.,Invalid
"Angin topan ungu yang membuat orang terbang terjadi di Dimensi Kelima dua hari yang lalu. menyebabkan semute berubah menjadi raksasa. Menurut warga, ini adalah ulah alien yang ingin menguasai bumi.",Invalid
Hujan meteor yang menghasilkan emas terjadi di Lautan Awan seminggu yang lalu. mengakibatkan semua orang di wilayah itu bisa terbang. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
"Hujan berlian yang membuat warga takut terjadi di Lautan Awan tiga hari yang lalu. menyebabkan semute berubah menjadi raksasa. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
"Gempa bumi dengan kekuatan 7.1 SR melanda wilayah Palu tepatnya di Kecamatan Cisarua, Desa Sukamaju pada pukul 08.33 WIB. Pasokan listrik terhenti selama beberapa jam di wilayah terdampak. Pihak BPBD setempat langsung menangani kejadian ini dengan mendirikan posko darurat.",Valid
"Letusan gunung berapi melanda wilayah Bali tepatnya di Kecamatan Sukajaya, Desa Tegalrejo pada pukul 08.33 WIB. Sebanyak 125 warga terpaksa mengungsi ke tempat yang lebih aman. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
Tsunami pelangi yang mengubah warna laut terjadi di Benua Mu yang hilang pada malam hari tadi. mengakibatkan pohon-pohon berubah menjadi emas. Warga setempat mengaku hanya mendengar cerita ini dari grup WhatsApp.,Invalid
"Tsunami melanda wilayah Papua tepatnya di Kecamatan Cisarua, Desa Margodadi pada pagi hari ini. Banyak pohon tumbang yang menutup akses jalan utama. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
"Tsunami api yang membakar laut terjadi di Galaksi Andromeda saat subuh tadi. menyebabkan semute berubah menjadi raksasa. Menurut warga, ini adalah ulah alien yang ingin menguasai bumi.",Invalid
Gempa bumi raksasa akibat ulah alien terjadi di Galaksi Andromeda dua hari yang lalu. menyebabkan warga panik dan ketakutan. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
Kekeringan akibat kutukan dukun terjadi di Benua Mu yang hilang dua hari yang lalu. mengakibatkan semua warga menjadi takut dan bersembunyi. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
"Tsunami melanda wilayah Jawa Timur tepatnya di Kecamatan Pesawaran, Desa Margodadi pada pukul 08.33 WIB. Lebih dari 277 hektar lahan pertanian terendam banjir. Pemerintah daerah segera menyalurkan bantuan logistik berupa makanan dan selimut.",Valid
"Gempa bumi akibat ledakan di bulan terjadi di permukaan Planet Mars pada sore hari kemarin. mengakibatkan pohon-pohon berubah menjadi emas. Menurut warga, ini adalah ulah alien yang ingin menguasai bumi.",Invalid
"Kekeringan akibat kutukan dukun terjadi di dasar Laut Pasifik saat subuh tadi. menyebabkan ikan-ikan mulai berbicara. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
Kekeringan akibat kutukan dukun terjadi di Kota Gaib Saranjana pada pagi hari ini. menyebabkan alien muncul dari dalam air. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
"Banjir rob melanda wilayah Kalimantan Selatan tepatnya di Kecamatan Woha, Desa Cikahuripan pada malam hari tadi. Sedikitnya 7 korban jiwa dilaporkan. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Banjir rob melanda wilayah Papua tepatnya di Kecamatan Soreang, Desa Margodadi pada malam hari kemarin. Sebanyak 167 rumah mengalami kerusakan ringan hingga berat. Petugas masih melakukan pendataan kerugian dan korban di lokasi kejadian.",Valid
Angin topan ungu yang membuat orang terbang terjadi di Benua Mu yang hilang pada siang hari tadi. menyebabkan semute berubah menjadi raksasa. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
"Banjir bandang melanda wilayah Maluku tepatnya di Kecamatan Prambanan, Desa Tegalrejo pada pukul 08.33 WIB. Banyak pohon tumbang yang menutup akses jalan utama. Warga diimbau untuk tetap tenang dan mengikuti arahan dari petugas di lapangan.",Valid
Letusan gunung berapi menghasilkan permen terjadi di Kota Emas El Dorado pada pukul 09.53 WIB. menyebabkan ikan-ikan mulai berbicara. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
Angin topan ungu yang membuat orang terbang terjadi di kota Bikini Bottom pada malam hari kemarin. menyebabkan hewan-hewan mulai menari di jalan. Tidak ada bukti yang jelas mengenai kejadian ini hingga saat ini.,Invalid
"Kebakaran hutan melanda wilayah Yogyakarta tepatnya di Kecamatan Karangasem, Desa Jaya Baru pada pukul 08.33 WIB. Sebanyak 9 sekolah mengalami kerusakan. Petugas masih melakukan pendataan kerugian dan korban di lokasi kejadian.",Valid
"Longsor lahar dingin melanda wilayah Aceh tepatnya di Kecamatan Soreang, Desa Jaya Baru pada malam hari tadi. Akses jalan utama terputus akibat material longsor. Petugas masih melakukan pendataan kerugian dan korban di lokasi kejadian.",Valid
Gempa bumi raksasa akibat ulah alien terjadi di Langit Ketujuh dua hari yang lalu. menyebabkan ikan-ikan mulai berbicara. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
"Hujan berlian yang membuat warga takut terjadi di Langit Ketujuh pada sore hari kemarin. mengakibatkan semua ikan di laut mati mendadak. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
Tsunami api yang membakar laut terjadi di Galaksi Andromeda pada pagi hari ini. menyebabkan alien muncul dari dalam air. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
"Longsor lahar dingin melanda wilayah Maluku tepatnya di Kecamatan Kalianda, Desa Margodadi pada pukul 08.33 WIB. Sebanyak 9 sekolah mengalami kerusakan. Proses evakuasi warga yang terdampak masih berlangsung hingga malam ini.",Valid
Banjir darah dari langit terjadi di Kota Gaib Saranjana pada malam hari kemarin. mengakibatkan semua orang di wilayah itu bisa terbang. Berita ini ternyata hanya hoax yang menyebar di media sosial.,Invalid
"Hujan berlian yang membuat warga takut terjadi di Kota Gaib Saranjana pada malam hari tadi. menyebabkan ikan-ikan mulai berbicara. Menurut warga, ini adalah ulah alien yang ingin menguasai bumi.",Invalid
"Longsor lahar dingin melanda wilayah Riau tepatnya di Kecamatan Tanjung, Desa Gunungkidul pada siang hari tadi. Pasokan listrik terhenti selama beberapa jam di wilayah terdampak. Warga diimbau untuk tetap tenang dan mengikuti arahan dari petugas di lapangan.",Valid
"Gempa bumi dengan kekuatan 3.9 SR melanda wilayah NTB tepatnya di Kecamatan Prambanan, Desa Jaya Baru tiga hari yang lalu. Sebanyak 167 rumah mengalami kerusakan ringan hingga berat. Warga diimbau untuk tetap tenang dan mengikuti arahan dari petugas di lapangan.",Valid
"Letusan gunung berapi melanda wilayah Kalimantan Selatan tepatnya di Kecamatan Ciputat, Desa Pulosari pada pagi hari ini. Jembatan utama yang menghubungkan dua desa ambruk. Petugas masih melakukan pendataan kerugian dan korban di lokasi kejadian.",Valid
"Tanah longsor melanda wilayah Palu tepatnya di Kecamatan Banyuwangi, Desa Pulosari pada malam hari tadi. Sebanyak 125 warga terpaksa mengungsi ke tempat yang lebih aman. Pemerintah daerah segera menyalurkan bantuan logistik berupa makanan dan selimut.",Valid
Angin topan ungu yang membuat orang terbang terjadi di Kota Emas El Dorado dua hari yang lalu. mengakibatkan gunung berubah menjadi cokelat leleh. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
"Banjir cokelat dari sungai terjadi di perairan Atlantis yang hilang pada siang hari tadi. mengakibatkan semua warga menjadi takut dan bersembunyi. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
"Gempa bumi dengan kekuatan 7.1 SR melanda wilayah Riau tepatnya di Kecamatan Prambanan, Desa Sukamaju pada pagi hari ini. Kerugian material diperkirakan mencapai Rp 64 miliar. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
Banjir cokelat dari sungai terjadi di perairan Atlantis yang hilang dua hari yang lalu. mengakibatkan semua warga menjadi takut dan bersembunyi. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
"Tsunami melanda wilayah Jakarta tepatnya di Kecamatan Soreang, Desa Cikahuripan pada malam hari tadi. Pasokan air bersih terganggu di beberapa wilayah. Petugas masih melakukan pendataan kerugian dan korban di lokasi kejadian.",Valid
"Kebakaran hutan melanda wilayah NTT tepatnya di Kecamatan Woha, Desa Cikahuripan tiga hari yang lalu. Sedikitnya 7 korban jiwa dilaporkan. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
"Letusan gunung berapi menghasilkan permen terjadi di Galaksi Andromeda saat subuh tadi. mengakibatkan burung-burung menjadi raksasa. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
"Tanah longsor melanda wilayah NTT tepatnya di Kecamatan Soreang, Desa Sukamaju pada sore hari kemarin. Sebanyak 10 desa terisolasi akibat akses jalan yang terputus. Pemerintah daerah segera menyalurkan bantuan logistik berupa makanan dan selimut.",Valid
"Longsor lahar dingin melanda wilayah Bengkulu tepatnya di Kecamatan Cisarua, Desa Jaya Baru pada malam hari tadi. Sebanyak 9 sekolah mengalami kerusakan. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
"Angin puting beliung melanda wilayah Riau tepatnya di Kecamatan Prambanan, Desa Jaya Baru seminggu yang lalu. Lebih dari 277 hektar lahan pertanian terendam banjir. Bantuan darurat berupa tenda dan makanan mulai didistribusikan ke warga terdampak.",Valid
"Letusan gunung berapi melanda wilayah Bengkulu tepatnya di Kecamatan Pesawaran, Desa Gunungkidul pada pagi hari ini. Pasokan air bersih terganggu di beberapa wilayah. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
Hujan berlian yang membuat warga takut terjadi di Langit Ketujuh saat subuh tadi. mengakibatkan gunung berubah menjadi cokelat leleh. Banyak yang mengatakan bahwa ini hanyalah cerita bohong belaka.,Invalid
"Tsunami pelangi yang mengubah warna laut terjadi di Benua Mu yang hilang pada pukul 09.53 WIB. mengakibatkan semua orang di wilayah itu bisa terbang. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
"Letusan gunung berapi menghasilkan permen terjadi di Kutub Selatan saat subuh tadi. menyebabkan semute berubah menjadi raksasa. Berita ini menjadi viral di media sosial, namun tidak ada konfirmasi resmi.",Invalid
Hujan emas yang membuat warga kaya mendadak terjadi di Kota Emas El Dorado seminggu yang lalu. menyebabkan semute berubah menjadi raksasa. Berita ini ternyata hanya hoax yang menyebar di media sosial.,Invalid
Gempa bumi raksasa akibat ulah alien terjadi di Galaksi Andromeda pada malam hari kemarin. mengakibatkan pohon-pohon berubah menjadi emas. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
"Kebakaran hutan melanda wilayah Garut tepatnya di Kecamatan Prambanan, Desa Tegalrejo dua hari yang lalu. Jembatan utama yang menghubungkan dua desa ambruk. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Letusan gunung berapi melanda wilayah Banten tepatnya di Kecamatan Ciputat, Desa Pasirjaya pada siang hari tadi. Pasokan air bersih terganggu di beberapa wilayah. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
Lava meletus dari gunung es di tengah kota terjadi di permukaan Planet Mars tiga hari yang lalu. menyebabkan hewan-hewan mulai menari di jalan. Berita ini ternyata hanya hoax yang menyebar di media sosial.,Invalid
Tsunami api yang membakar laut terjadi di Kutub Selatan seminggu yang lalu. mengakibatkan semua ikan di laut mati mendadak. Banyak yang mengatakan bahwa ini hanyalah cerita bohong belaka.,Invalid
Hujan emas yang membuat warga kaya mendadak terjadi di Kota Gaib Saranjana pada sore hari kemarin. menyebabkan semute berubah menjadi raksasa. Berita ini ternyata hanya hoax yang menyebar di media sosial.,Invalid
"Kebakaran hutan akibat napas naga terjadi di Dunia Paralel tiga hari yang lalu. mengakibatkan tanah berubah menjadi permen karet. Menurut warga, ini adalah ulah alien yang ingin menguasai bumi.",Invalid
"Kebakaran hutan melanda wilayah Lampung tepatnya di Kecamatan Pesawaran, Desa Mekarwangi pada siang hari tadi. Banyak pohon tumbang yang menutup akses jalan utama. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
Angin topan ungu yang membuat orang terbang terjadi di pusat inti Bumi tiga hari yang lalu. menyebabkan warga panik dan ketakutan. Berita ini ternyata hanya hoax yang menyebar di media sosial.,Invalid
"Lava meletus dari gunung es di tengah kota terjadi di Kota Gaib Saranjana pada malam hari kemarin. menyebabkan alien muncul dari dalam air. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
"Letusan gunung berapi melanda wilayah Kalimantan Selatan tepatnya di Kecamatan Sukajaya, Desa Pasirjaya dua hari yang lalu. Pasokan air bersih terganggu di beberapa wilayah. Warga diimbau untuk tetap tenang dan mengikuti arahan dari petugas di lapangan.",Valid
"Kebakaran hutan melanda wilayah Jakarta tepatnya di Kecamatan Sukajaya, Desa Sukamaju pada siang hari tadi. Tercatat 25 warga mengalami luka-luka. Bantuan darurat berupa tenda dan makanan mulai didistribusikan ke warga terdampak.",Valid
"Banjir bandang melanda wilayah Palu tepatnya di Kecamatan Pamekasan, Desa Gunungkidul pada sore hari kemarin. Sedikitnya 7 korban jiwa dilaporkan. Warga diimbau untuk tetap tenang dan mengikuti arahan dari petugas di lapangan.",Valid
Banjir cokelat dari sungai terjadi di pusat inti Bumi pada sore hari kemarin. mengakibatkan pohon-pohon berubah menjadi emas. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
"Kebakaran hutan akibat napas naga terjadi di Benua Mu yang hilang tiga hari yang lalu. mengakibatkan semua ikan di laut mati mendadak. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
Tsunami pelangi yang mengubah warna laut terjadi di pusat inti Bumi pada malam hari kemarin. menyebabkan langit berubah warna menjadi ungu. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
Gempa bumi akibat ledakan di bulan terjadi di Galaksi Andromeda dua hari yang lalu. mengakibatkan semua orang di wilayah itu bisa terbang. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
"Tanah longsor melanda wilayah Kalimantan Selatan tepatnya di Kecamatan Pamekasan, Desa Mekarwangi saat subuh tadi. Akses jalan utama terputus akibat material longsor. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Tsunami melanda wilayah Maluku tepatnya di Kecamatan Serang, Desa Mekarwangi tiga hari yang lalu. Pasokan air bersih terganggu di beberapa wilayah. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
"Longsor lahar dingin melanda wilayah Bandung tepatnya di Kecamatan Kalianda, Desa Cikahuripan pada pagi hari ini. Jembatan utama yang menghubungkan dua desa ambruk. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
Hujan emas yang membuat warga kaya mendadak terjadi di Kota Gaib Saranjana pada malam hari kemarin. menyebabkan air laut berubah menjadi sirup manis. Banyak yang mengatakan bahwa ini hanyalah cerita bohong belaka.,Invalid
"Tsunami api yang membakar laut terjadi di dasar Laut Pasifik pada pagi hari ini. mengakibatkan dinosaurus hidup kembali di tengah kota. Berita ini menjadi viral di media sosial, namun tidak ada konfirmasi resmi.",Invalid
"Longsor lahar dingin melanda wilayah Riau tepatnya di Kecamatan Tanjung, Desa Gunungkidul pada sore hari kemarin. Sebanyak 167 rumah mengalami kerusakan ringan hingga berat. Pemerintah daerah segera menyalurkan bantuan logistik berupa makanan dan selimut.",Valid
"Kebakaran hutan melanda wilayah Yogyakarta tepatnya di Kecamatan Soreang, Desa Mekarwangi pada sore hari kemarin. Pasokan listrik terhenti selama beberapa jam di wilayah terdampak. Warga diimbau untuk tetap tenang dan mengikuti arahan dari petugas di lapangan.",Valid
"Gempa bumi dengan kekuatan 7.9 SR melanda wilayah Sulawesi Utara tepatnya di Kecamatan Serang, Desa Cikahuripan pada malam hari kemarin. Lebih dari 277 hektar lahan pertanian terendam banjir. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Banjir bandang melanda wilayah NTB tepatnya di Kecamatan Pamekasan, Desa Pulosari pada pagi hari ini. Jembatan utama yang menghubungkan dua desa ambruk. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Angin puting beliung melanda wilayah NTT tepatnya di Kecamatan Banyuwangi, Desa Sidomulyo saat subuh tadi. Kerugian material diperkirakan mencapai Rp 64 miliar. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
Tsunami pelangi yang mengubah warna laut terjadi di Benua Mu yang hilang seminggu yang lalu. menyebabkan semute berubah menjadi raksasa. Beberapa orang menyebut ini sebagai bagian dari konspirasi besar.,Invalid
"Kebakaran hutan akibat napas naga terjadi di permukaan Planet Mars pada malam hari tadi. menyebabkan warga panik dan ketakutan. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
"Gempa bumi dengan kekuatan 6.5 SR melanda wilayah Maluku tepatnya di Kecamatan Pesawaran, Desa Pasirjaya pada siang hari tadi. Sebanyak 5 ternak dilaporkan mati akibat bencana. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
"Tanah longsor melanda wilayah Maluku tepatnya di Kecamatan Woha, Desa Sidomulyo pada pukul 08.33 WIB. Sebanyak 9 sekolah mengalami kerusakan. Bantuan darurat berupa tenda dan makanan mulai didistribusikan ke warga terdampak.",Valid
Banjir darah dari langit terjadi di dasar Laut Pasifik tiga hari yang lalu. mengakibatkan gunung berubah menjadi cokelat leleh. Berita ini ternyata hanya hoax yang menyebar di media sosial.,Invalid
"Banjir rob melanda wilayah Sumatra Barat tepatnya di Kecamatan Serang, Desa Pulosari pada malam hari kemarin. Sebanyak 125 warga terpaksa mengungsi ke tempat yang lebih aman. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Letusan gunung berapi menghasilkan permen terjadi di Kutub Selatan tiga hari yang lalu. mengakibatkan tanah berubah menjadi permen karet. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
"Letusan gunung berapi melanda wilayah Garut tepatnya di Kecamatan Kalianda, Desa Pasirjaya dua hari yang lalu. Pasokan listrik terhenti selama beberapa jam di wilayah terdampak. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Gempa bumi dengan kekuatan 7.1 SR melanda wilayah Palu tepatnya di Kecamatan Banyuwangi, Desa Tegalrejo saat subuh tadi. Sedikitnya 7 korban jiwa dilaporkan. Pihak BPBD setempat langsung menangani kejadian ini dengan mendirikan posko darurat.",Valid
"Letusan gunung berapi melanda wilayah Bengkulu tepatnya di Kecamatan Serang, Desa Gunungkidul pada malam hari tadi. Banyak pohon tumbang yang menutup akses jalan utama. Proses evakuasi warga yang terdampak masih berlangsung hingga malam ini.",Valid
Gempa bumi akibat ledakan di bulan terjadi di perairan Atlantis yang hilang pada malam hari tadi. mengakibatkan dinosaurus hidup kembali di tengah kota. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
